ce_ltp,pe_strength,pe_vol,ce_iv,ce_oi,symbol,strike,pe_oi,ce_strength,ce_vol,pe_iv,ce_chg,pe_chg,pe_ltp
266.55,2768057,2623060,6.9,10232,NIFTY,25950,101729,511577,513076,8.07,-11731,43268,12.9
222.35,6528023,6212187,6.96,49834,NIFTY,26000,224250,2928031,2948330,7.78,-70133,91586,18.2
179.45,4302511,4121647,6.78,17917,NIFTY,26050,113127,2678806,2704608,7.57,-43719,67737,26.15
141.65,5813019,5591852,6.82,62221,NIFTY,26100,139808,5737368,5741833,7.43,-66686,81359,37.85
107.55,4047549,3928751,6.78,51510,NIFTY,26150,65305,4888029,4841738,7.31,-5219,53493,53.55
78.25,4306345,4150217,6.71,132091,NIFTY,26200,93534,7266752,7121360,7.24,13301,62594,74.45
54.85,1064783,1035072,6.7,61974,NIFTY,26250,18193,3727885,3649603,7.14,16308,11518,100.0
36.05,969510,931255,6.61,112438,NIFTY,26300,25238,4914012,4803743,7.14,-2169,13017,131.55
22.7,198427,186158,6.58,69734,NIFTY,26350,7234,2852200,2762825,7.18,19641,5035,167.95
13.5,234058,220042,6.55,139864,NIFTY,26400,11881,3708460,3522374,7.44,46222,2135,209.65
8.2,38185,33690,6.66,66101,NIFTY,26450,2740,2050524,1959823,7.78,24600,1755,254.25
1081.8,65781,58371,9.12,2292,BANKNIFTY,59300,6029,50039,50183,10.45,-2436,1381,312.0
1016.8,57872,52423,9.22,3825,BANKNIFTY,59400,5293,49035,47684,10.38,-2474,156,339.6
938.0,218552,167507,9.02,29103,BANKNIFTY,59500,47569,163722,140957,10.27,-6338,3476,367.25
876.2,77454,70439,9.09,4986,BANKNIFTY,59600,5531,77920,74250,10.29,-1316,1484,404.15
815.0,75038,65481,9.11,7646,BANKNIFTY,59700,6918,82375,73974,10.21,755,2639,437.3
752.0,57955,46396,9.06,8666,BANKNIFTY,59800,8396,77750,69412,10.16,-328,3163,475.05
695.0,31443,27035,9.07,6115,BANKNIFTY,59900,2970,49617,44259,10.2,-757,1438,519.9
636.25,104063,76929,9.0,36376,BANKNIFTY,60000,22168,214391,183359,10.16,-5344,4966,563.25
589.9,16522,12083,9.09,6409,BANKNIFTY,60100,3373,43485,36575,10.16,501,1066,610.75
536.0,9383,7358,9.01,4503,BANKNIFTY,60200,1946,33802,29508,10.14,-209,79,660.0
489.35,5929,5544,9.01,3024,BANKNIFTY,60300,1291,29871,27336,10.15,-489,-906,713.45
65.9,3673,2958,10.64,307,RELIANCE,1490,831,476,137,16.32,32,-116,5.35
58.1,15437,10373,12.37,5440,RELIANCE,1500,4971,7450,1974,16.07,36,93,6.9
50.1,6060,5143,12.7,290,RELIANCE,1510,842,1183,802,15.93,91,75,8.95
42.05,11177,8766,12.45,977,RELIANCE,1520,1993,7113,6125,15.68,11,418,11.3
35.5,11108,8694,12.88,1871,RELIANCE,1530,1845,14572,12022,15.63,679,569,14.45
29.6,10238,7022,13.21,3894,RELIANCE,1540,2840,19804,15585,15.7,325,376,18.35
24.0,7433,3759,13.24,6196,RELIANCE,1550,3820,21787,15749,15.66,-158,-146,22.7
19.1,5124,1979,13.25,8461,RELIANCE,1560,3266,19351,11340,15.7,-450,-121,27.8
15.1,2790,542,13.36,4025,RELIANCE,1570,2103,11400,7421,15.73,-46,145,33.5
11.6,1558,253,13.37,5783,RELIANCE,1580,1389,15168,9527,15.9,-142,-84,40.0
8.5,433,69,13.19,2232,RELIANCE,1590,389,6279,4036,19.02,11,-25,51.3
