strike,volume,distance_from_atm,oi,oi_speed,option_type,ltp,atm,metrics,iv,pcr,iv_trend,price_trend,oi_ratio,timestamp,coi,signal,vwap_dev,score,ema_trend,symbol
1500,10373,40,4971,0.0,PE,6.9,1540,"{'price_trend_pct': 0.0, 'ema_prev': 6.9, 'ema_new': 6.9, 'ema_delta': 0.0, 'vwap': 6.899999999999999, 'vwap_dev_pct': 0.0, 'iv_delta': 0.0, 'iv_now': 16.07, 'oi_speed': 0.0, 'ltp': 6.9, 'volume': 10373, 'coi': 93}",16.07,0.549,0.0,0.0,0.615,2025-12-07 10:22:03,93,STRONG SELL,0.0,0.0,0.0,RELIANCE
1600,15852,20,7079,0.0,PE,18.9,1620,"{'price_trend_pct': 0.0, 'ema_prev': 18.9, 'ema_new': 18.9, 'ema_delta': 0.0, 'vwap': 18.899999999999995, 'vwap_dev_pct': 0.0, 'iv_delta': 0.0, 'iv_now': 17.75, 'oi_speed': 0.0, 'ltp': 18.9, 'volume': 15852, 'coi': 2176}",17.75,0.708,0.0,0.0,0.508,2025-12-07 10:22:05,2176,SELL,0.0,0.0,0.0,INFY
1000,15513,0,7242,0.0,PE,10.9,1000,"{'price_trend_pct': 0.0, 'ema_prev': 10.9, 'ema_new': 10.9, 'ema_delta': 0.0, 'vwap': 10.9, 'vwap_dev_pct': 0.0, 'iv_delta': 0.0, 'iv_now': 13.99, 'oi_speed': 0.0, 'ltp': 10.9, 'volume': 15513, 'coi': 1121}",13.99,0.642,0.0,0.0,0.683,2025-12-07 10:22:08,1121,SELL,0.0,0.0,0.0,HDFCBANK
2100,3353,0,2913,0.0,PE,23.75,2100,"{'price_trend_pct': 0.0, 'ema_prev': 23.75, 'ema_new': 23.75, 'ema_delta': 0.0, 'vwap': 23.75, 'vwap_dev_pct': 0.0, 'iv_delta': 0.0, 'iv_now': 15.74, 'oi_speed': 0.0, 'ltp': 23.75, 'volume': 3353, 'coi': -150}",15.74,0.542,0.0,0.0,0.564,2025-12-07 10:22:13,-150,STRONG SELL,0.0,0.0,0.0,BHARTIARTL
4000,3298,40,2431,0.0,PE,36.15,4040,"{'price_trend_pct': 0.0, 'ema_prev': 36.15, 'ema_new': 36.15, 'ema_delta': 0.0, 'vwap': 36.14999999999999, 'vwap_dev_pct': 0.0, 'iv_delta': 0.0, 'iv_now': 15.28, 'oi_speed': 0.0, 'ltp': 36.15, 'volume': 3298, 'coi': 264}",15.28,0.714,0.0,0.0,0.62,2025-12-07 10:22:17,264,SELL,0.0,0.0,0.0,LT
1280,2938,0,1363,0.0,PE,16.55,1280,"{'price_trend_pct': 0.0, 'ema_prev': 16.55, 'ema_new': 16.55, 'ema_delta': 0.0, 'vwap': 16.550000000000004, 'vwap_dev_pct': -0.0, 'iv_delta': 0.0, 'iv_now': 16.06, 'oi_speed': 0.0, 'ltp': 16.55, 'volume': 2938, 'coi': -172}",16.06,0.616,0.0,0.0,0.506,2025-12-07 10:22:18,-172,SELL,-0.0,0.0,0.0,AXISBANK
2360,11405,20,464,0.0,PE,48.95,2340,"{'price_trend_pct': 0.0, 'ema_prev': 48.95, 'ema_new': 48.95, 'ema_delta': 0.0, 'vwap': 48.95, 'vwap_dev_pct': 0.0, 'iv_delta': 0.0, 'iv_now': 19.42, 'oi_speed': 0.0, 'ltp': 48.95, 'volume': 11405, 'coi': -328}",19.42,0.625,0.0,0.0,0.626,2025-12-07 10:22:20,-328,SELL,0.0,0.0,0.0,HINDUNILVR
1040,4988,10,1503,0.0,PE,15.6,1050,"{'price_trend_pct': 0.0, 'ema_prev': 15.6, 'ema_new': 15.6, 'ema_delta': 0.0, 'vwap': 15.600000000000003, 'vwap_dev_pct': -0.0, 'iv_delta': 0.0, 'iv_now': 20.13, 'oi_speed': 0.0, 'ltp': 15.6, 'volume': 4988, 'coi': 472}",20.13,0.739,0.0,0.0,0.657,2025-12-07 10:22:21,472,SELL,-0.0,0.0,0.0,BAJFINANCE
2300,1449,40,3395,0.0,PE,75.6,2260,"{'price_trend_pct': 0.0, 'ema_prev': 75.6, 'ema_new': 75.6, 'ema_delta': 0.0, 'vwap': 75.59999999999998, 'vwap_dev_pct': 0.0, 'iv_delta': 0.0, 'iv_now': 27.13, 'oi_speed': 0.0, 'ltp': 75.6, 'volume': 1449, 'coi': 453}",27.13,0.648,0.0,0.0,0.541,2025-12-07 10:22:23,453,SELL,0.0,0.0,0.0,ADANIENT
1800,1137,0,585,0.0,PE,19.5,1800,"{'price_trend_pct': 0.0, 'ema_prev': 19.5, 'ema_new': 19.5, 'ema_delta': 0.0, 'vwap': 19.5, 'vwap_dev_pct': 0.0, 'iv_delta': 0.0, 'iv_now': 14.54, 'oi_speed': 0.0, 'ltp': 19.5, 'volume': 1137, 'coi': -70}",14.54,0.458,0.0,0.0,0.34,2025-12-07 10:22:25,-70,STRONG SELL,0.0,0.0,0.0,SUNPHARMA
